product_id,product_name,base_price,optimal_price,predicted_units,expected_revenue,category
73,Smartphone #73,4568,5454.4,5.77,31471.89,Wearables
74,Bluetooth Speaker #74,4478,5332.4,5.2,27728.48,Stationery
75,Running Shoes #75,1765,2112.0,4.7,9926.4,Toys
76,Self-help Book #76,4132,4955.6,4.77,23638.21,Kitchen
77,Clock #77,4512,5409.6,5.08,27480.77,Accessories
78,Sandals #78,368,394.4,5.41,2133.7,Toys
79,Comic Book #79,3188,3800.4,5.13,19496.05,Wearables
80,Sneakers #80,4752,5701.6,4.7,26797.52,Fitness
81,Kettlebell #81,313,350.4,5.77,2021.81,Home
82,Conditioner #82,1372,1597.6,5.0,7988.0,Toys
83,Wall Decor #83,902,1071.6,5.43,5818.79,Wearables
84,Fiction Book #84,4525,5420.0,5.13,27804.6,Fitness
85,VR Headset #85,703,812.4,5.02,4078.25,Accessories
86,Sneakers #86,2121,2346.8,5.91,13869.59,Home
87,Tablet #87,1821,2156.8,5.39,11625.15,Electronics
88,Cushions #88,637,759.6,5.32,4041.07,Accessories
89,Cushions #89,822,907.6,5.77,5236.85,Electronics
90,Lipstick #90,512,609.6,5.55,3383.28,Beauty
91,Smartphone #91,369,395.2,5.92,2339.58,Books
92,Rice Cooker #92,3631,4354.8,5.21,22688.51,Books
93,Kettlebell #93,4539,5431.2,5.15,27970.68,Kitchen
94,Resistance Bands #94,3952,4411.6,5.61,24749.08,Beauty
95,Bluetooth Speaker #95,452,511.6,5.68,2905.89,Toys
96,Bluetooth Speaker #96,3456,4114.8,5.6,23042.88,Kitchen
97,Boots #97,1729,2033.2,5.82,11833.22,Kitchen
98,Cookbook #98,890,1062.0,5.4,5734.8,Kitchen
99,Dumbbells #99,1974,2329.2,5.4,12577.68,Wearables
100,Cushions #100,699,809.2,4.95,4005.54,Fitness
